number of population per hectare,Entire home/apt,Private room,Hotel room,Shared room,Entropy
1.740810517,1.082913967,-1.001132545,-0.545181016,-0.215599932,0.105565075
1.363012076,0.505935136,-0.428266156,-0.545181016,-0.215599932,0.286383284
0.549119392,2.082343089,-2.03564217,-0.545181016,0.11375242,-0.794003323
0.374437333,2.292792579,-2.262826975,-0.545181016,0.256057492,-1.141625456
2.700143945,1.447979658,-1.47718777,-0.10063567,0.375365635,0.432470793
-0.362246322,0.192867608,-0.588500894,0.069337551,3.052092023,2.067248411
-0.439543177,-0.474204558,0.442218259,0.660220788,-0.215599932,0.461206883
-0.940458111,0.822097116,-0.742174678,-0.545181016,-0.215599932,0.225903581
-0.908147518,0.031942184,-0.098146429,1.10431619,-0.215599932,0.915285773
0.705235889,0.673710086,-0.635290761,-0.07032576,-0.215599932,0.522231936
0.571911025,1.039287998,-0.957817522,-0.545181016,-0.215599932,0.130221113
-0.41174091,-0.022333089,0.096236814,-0.545181016,-0.215599932,0.18164419
-0.107412011,1.410892723,-1.446896688,0.081627922,0.305188474,0.504351772
1.205852863,0.295941047,-0.299452438,-0.077413152,0.095318519,0.795872149
0.569835169,0.595859399,-0.616416204,0.15127336,0.09301542,0.880649813
0.236919452,-0.070173665,0.143736404,-0.545181016,-0.215599932,0.159285876
0.328727897,0.48536165,-0.465245794,0.128807089,-0.215599932,0.631136604
2.939270886,1.858915343,-1.78376422,-0.402399937,-0.215599932,-0.576761043
-0.936794923,-0.589100474,0.658964539,-0.545181016,-0.215599932,-0.228139882
-0.333109313,1.067489723,-0.985818238,-0.545181016,-0.215599932,0.114492918
9.029332069,1.551793414,-1.484645801,-0.334134236,-0.215599932,-0.157627261
0.697111866,-0.254317548,0.142471134,1.616229116,-0.215599932,0.94136703
0.97837508,1.069194943,-1.062006232,0.329436107,-0.215599932,0.512142297
1.717690581,0.703228799,-0.6241536,-0.545181016,-0.215599932,0.259494685
0.374442207,1.076890298,-0.99515181,-0.545181016,-0.215599932,0.109079157
0.695424179,1.571222967,-1.512004043,-0.239420559,-0.215599932,-0.136180012
-0.333574946,0.691701742,-1.246691572,-0.545181016,4.731889918,1.999197126
0.616484257,1.087994332,-1.149500273,0.716850403,0.064018004,0.848327816
2.121072115,2.059836577,-2.080047261,-0.118780378,0.351244591,-0.450592673
0.634735566,-1.041755297,0.863867712,1.847219512,0.102438789,0.488879046
0.308346544,0.946122163,-0.966220944,-0.222083626,0.357088349,0.758732895
0.460128592,1.163969307,-1.362599797,-0.037643414,1.639840541,1.208278134
0.970673511,1.466082031,-1.516729134,-0.016228326,0.487574287,0.498081755
-0.726010579,-0.638888703,0.708397901,-0.545181016,-0.215599932,-0.279970102
0.544302886,-1.643988595,1.539496302,1.413596916,-0.215599932,-1.124058096
1.545508199,1.327395758,-1.243871781,-0.545181016,-0.215599932,-0.06729647
0.482210305,0.86087624,-0.83723252,-0.013987001,-0.12733071,0.576432799
-0.073494661,-0.267391911,0.134210387,1.865622593,-0.215599932,1.00736453
1.414088793,1.5601788,-1.587391507,-0.545181016,0.661517383,0.214677282
1.81841986,0.128578646,-0.079642233,-0.239420559,-0.215599932,0.42396381
-1.055897261,2.087589763,-2.110337912,0.766134754,-0.215599932,-0.58095408
0.096064276,-0.037365599,0.002207013,-0.545181016,0.634666853,0.764370624
1.685528185,0.397578682,-0.359651383,-0.087656244,-0.215599932,0.539976781
0.417953365,1.953381994,-1.953398522,0.258420187,-0.062987945,-0.355233116
-0.694777905,0.317866561,-0.241538048,-0.545181016,-0.215599932,0.278681829
0.656003383,0.973729595,-0.930770117,-0.247409549,-0.116637764,0.431893616
1.038623854,0.28629005,-0.277766387,0.24824802,-0.215599932,0.671439689
-0.137411382,0.362820759,-0.897079652,5.379878601,0.613515938,2.45004596
0.29811443,0.317866561,-0.241538048,-0.545181016,-0.215599932,0.278681829
0.135923947,0.244992233,-0.169183135,-0.545181016,-0.215599932,0.266946693
-0.760416321,-0.71548598,0.784449227,-0.545181016,-0.215599932,-0.365059333
-0.022464351,-0.751453397,0.820160285,-0.545181016,-0.215599932,-0.4072984
-0.211553621,2.136805116,-2.644615018,-0.545181016,4.4440858,-0.271099518
0.719920714,1.219423338,-1.172741934,-0.121661463,-0.215599932,0.238988152
-0.371613728,0.34619577,-0.488606792,1.23440272,0.310117071,1.403330865
0.699767831,1.221810109,-1.139038699,-0.545181016,-0.215599932,0.014673962
-1.26244285,0.291846371,-0.542568814,-0.545181016,2.335200421,1.53521433
1.464594491,1.387109269,-1.303159682,-0.545181016,-0.215599932,-0.118700904
1.34576606,0.708848198,-0.695106046,-0.204060506,0.06782233,0.687893136
0.10658541,1.149381329,-1.149684969,0.101013765,-0.000841826,0.556689024
-0.541206751,0.120381803,-0.156685937,0.107744961,0.218390406,0.92311908
0.73628013,1.234237505,-1.431087021,0.025943301,1.587585435,1.153321565
-0.745782797,-0.276792486,0.34888254,-0.545181016,-0.215599932,0.037381034
-0.418628033,-0.334301885,0.301299625,0.683856118,-0.215599932,0.579488217
1.800669009,0.983824606,-0.923283306,-0.545181016,-0.055357345,0.303085384
0.356480796,0.695435859,-0.616416204,-0.545181016,-0.215599932,0.261238322
0.693096988,0.706551371,-0.689531596,0.183666586,-0.215599932,0.617847368
0.736017321,0.727113203,-0.755360446,0.085834693,0.203826972,0.892449514
1.834249121,1.730685118,-1.816506135,-0.3896453,1.024987833,0.219024896
2.007890626,0.669407953,-0.815226419,0.385723348,0.918790654,1.382904327
2.318424709,1.769472187,-1.889727644,0.426615787,0.753308729,0.356413996
0.266986919,0.231153661,-0.21509463,0.155164166,-0.215599932,0.625598519
-0.297735748,-0.63670021,0.588888674,0.832421046,-0.215599932,0.371838499
-1.002189755,-0.606468461,0.552050523,0.912514189,-0.215599932,0.431188814
1.529716428,2.172362068,-2.210363754,-0.331253051,0.637568787,-0.642265718
-0.712297214,-1.022258074,1.089034789,-0.545181016,-0.215599932,-0.774903445
0.39603728,0.550787949,-0.519630885,-0.178626082,-0.093778082,0.611653728
-0.026060411,0.579780998,-0.550565524,0.029873055,-0.215599932,0.581581027
1.352305728,0.887005376,-0.806620301,-0.545181016,-0.215599932,0.201987253
0.504106695,0.859737018,-0.779546299,-0.545181016,-0.215599932,0.212516796
2.298374644,1.326850907,-1.320148125,-0.545181016,0.383868736,0.328296866
0.173184462,0.141034183,-0.21509463,0.855509349,0.017154663,1.071001391
1.474448856,0.792522907,-0.752067166,-0.084292091,-0.215599932,0.483422395
1.661133325,0.042321406,-0.07238332,0.06783506,0.191862879,0.865720484
0.135926083,0.330425898,-0.337426667,0.43420795,-0.215599932,0.746771999
0.531554156,0.882509011,-0.889677347,0.139856075,0.012067131,0.733069828
0.546433105,0.008358286,0.065764193,-0.545181016,-0.215599932,0.194843448
-1.038399983,0.779080085,-0.752852284,0.081627922,-0.215599932,0.556525488
0.372051667,-0.21031162,0.069323395,1.460607587,0.117704648,1.200754707
0.301755571,0.410883467,-0.42438016,-0.013987001,0.137476953,0.85805263
-0.321796913,-0.196111824,0.216943893,0.063371351,-0.215599932,0.42203412
-0.722592598,1.097761299,-1.089343819,0.317400091,-0.215599932,0.489892239
1.398366724,-0.941601142,1.008952743,-0.545181016,-0.215599932,-0.655926944
2.112482792,2.282473922,-2.246806097,-0.331253051,0.068789641,-1.09512485
1.451670976,0.853892312,-0.820167628,-0.181813516,-0.094837403,0.533327317
-0.058352361,0.146774778,-0.099617579,-0.217008797,-0.215599932,0.440266627
0.952944127,0.396706479,-0.319816032,-0.545181016,-0.215599932,0.285868266
1.228846438,1.108572235,-1.026607933,-0.545181016,-0.215599932,0.090201252
3.562472885,0.91710981,-0.903037306,0.04062173,-0.085808429,0.607539724
-0.555253864,-1.156686295,1.222504867,-0.545181016,-0.215599932,-0.992464272
1.89305463,0.994165239,-0.913016377,-0.545181016,-0.215599932,0.15379291
0.472549052,2.002567303,-1.989851452,-0.101265338,0.079464321,-0.470113124
-0.463120157,1.040922881,-0.959440752,-0.545181016,-0.215599932,0.129330304
0.362022811,1.608694248,-1.563306681,-0.0738961,-0.215599932,-0.111657142
-1.09815132,2.490720122,-2.469773568,-0.267831929,0.153099824,-1.522122761
1.993216115,-0.432761557,0.025948217,3.357131441,0.919191924,2.027275856
-0.119545852,-0.514418129,0.584814496,-0.545181016,-0.215599932,-0.155412206
2.095159262,0.888784322,-0.848628802,-0.23020165,-0.110918845,0.483935219
-0.562199897,-0.729679005,0.798541091,-0.545181016,-0.215599932,-0.381550746
-0.748992889,0.207268336,-0.183814001,-0.08654033,-0.113982682,0.620377393
-0.187294466,0.354354972,-0.345346173,0.24824802,-0.215599932,0.677909412
1.477121906,0.730557621,-0.906067827,0.270622374,1.23040692,1.448488448
0.621235822,0.345963407,-0.306001777,-0.115859826,-0.215599932,0.524064965
0.432071777,0.61276424,-0.534333831,-0.545181016,-0.215599932,0.276278191
-0.154277859,0.399731587,-0.345346173,-0.280704671,-0.215599932,0.448312655
0.942736678,1.69002897,-1.635325034,-0.176469876,-0.215599932,-0.250159868
1.941837713,1.637039682,-1.571009085,-0.313886205,-0.215599932,-0.244615751
1.070242313,0.751089552,-0.799658229,0.957443151,-0.215599932,0.867494206
1.432305484,0.363743237,-0.323907068,-0.11289899,-0.215599932,0.526784775
-0.556832944,2.403651833,-2.347930569,-0.545181016,0.061231114,-1.475154573
1.520161261,1.970365833,-1.889503025,-0.545181016,-0.159069304,-0.774725911
0.358281335,0.679521019,-0.67055545,-0.271465323,0.148269697,0.715045648
1.380552517,0.467249803,-0.389856554,-0.545181016,-0.215599932,0.287454542
0.934977162,0.490484816,-0.435452555,-0.280704671,-0.215599932,0.448312655
1.205079076,0.507957421,-0.430274027,-0.545181016,-0.215599932,0.286289461
1.229714906,0.892435774,-0.812011994,-0.545181016,-0.215599932,0.199806691
-1.328812559,0.058146516,-0.082535893,-0.545181016,0.555938447,0.757637554
2.462473624,0.967864065,-0.901410284,-0.374852501,-0.215599932,0.274916512
0.49837155,-0.798211039,0.86658466,-0.545181016,-0.215599932,-0.464438909
0.233551405,-0.227080971,0.028060781,-0.545181016,1.902861378,1.242427037
-1.147577599,-1.784017992,1.84536523,-0.545181016,-0.215599932,-2.410708516
-0.459608894,0.093808783,-0.043908894,-0.253641975,-0.215599932,0.406057258
0.871001279,1.953451056,-1.932855064,-0.545181016,0.310301403,-0.481479392
1.612636303,2.102512202,-2.031622743,-0.545181016,-0.073888801,-0.93590053
-0.598269599,0.859737018,-0.824036325,-0.022840234,-0.215599932,0.484896403
0.619040908,1.32913392,-1.289358236,-0.339669889,-0.010699575,0.224063277
0.836181715,2.054859145,-2.024657573,0.141732889,-0.215599932,-0.684283092
0.198172854,-0.021514652,0.065764193,-0.196953828,-0.215599932,0.390775179
1.935371926,1.631376175,-1.724346299,0.071756915,0.768567134,0.447849646
2.72180413,0.588244729,-0.509989084,-0.545181016,-0.215599932,0.279526279
1.113479256,0.586382978,-0.587528009,0.386876885,-0.215599932,0.719170898
-0.359979799,-0.321816292,0.323338027,0.279567587,-0.215599932,0.43179653
0.751765295,-0.516007115,0.472800601,0.343909676,0.079882852,0.561782598
0.268283059,-0.274539813,0.297440365,0.032523074,-0.215599932,0.35884423
1.360323368,0.72857426,-0.692547585,-0.037643414,-0.215599932,0.522684893
1.214099829,0.258059561,-0.182157325,-0.545181016,-0.215599932,0.269411631
-0.53622791,-0.276792486,0.34888254,-0.545181016,-0.215599932,0.037381034
-0.577207987,-0.834058565,0.902176681,-0.545181016,-0.215599932,-0.509982955
0.866596855,1.200608578,-1.117988282,-0.545181016,-0.215599932,0.029780757
0.298343248,1.741427996,-1.772720702,0.607041297,-0.062426871,0.065225143
0.562397586,0.660647121,-0.615665318,-0.148466498,-0.215599932,0.490406259
