,Entire home/apt,Private room,Hotel room,Shared room
0,4,11,0,0
1,2,9,0,0
2,9,14,0,0
3,46,51,0,0
4,11,20,0,0
5,17,27,0,0
6,2,7,0,0
7,10,16,0,0
8,6,9,0,0
9,21,16,0,0
10,34,23,0,0
11,24,30,1,0
12,16,31,1,0
13,6,11,0,0
14,12,20,0,0
15,15,21,0,0
16,4,20,0,0
17,8,20,0,0
18,16,38,0,0
19,2,6,0,0
20,3,6,0,0
21,1,9,0,0
22,3,12,1,0
23,2,6,0,0
24,16,23,0,0
25,3,6,0,0
26,25,39,0,0
27,2,5,0,0
28,0,11,0,0
29,22,34,0,3
30,12,45,1,0
31,7,55,2,0
32,8,36,0,0
33,9,31,0,0
34,0,1,0,0
35,218,133,3,0
36,9,7,0,0
37,40,23,1,2
38,3,10,0,0
39,1,2,0,0
40,8,40,0,0
41,53,96,2,0
42,16,50,1,0
43,30,43,0,0
44,8,3,0,0
45,4,14,0,0
46,11,8,0,0
47,5,7,0,0
48,0,7,0,0
49,1,4,0,0
50,11,29,0,0
51,7,6,0,0
52,5,3,0,0
53,7,8,0,0
54,26,34,0,0
55,6,12,0,0
56,0,9,0,0
57,42,52,1,1
58,34,37,2,0
59,19,18,0,0
60,12,18,1,0
61,6,12,0,0
62,5,14,0,0
63,2,10,0,0
64,2,13,0,0
65,8,16,1,14
66,13,29,1,0
67,1,9,1,0
68,4,27,0,0
69,26,31,0,0
70,1,13,0,0
71,6,10,0,0
72,21,43,1,0
73,62,45,0,0
74,54,41,1,3
75,1,16,0,0
76,7,48,0,0
77,4,17,0,0
78,5,27,1,0
79,10,17,0,1
80,1,13,1,0
81,11,18,1,0
82,17,34,1,0
83,26,18,2,0
84,51,50,0,0
85,81,51,0,0
86,2,13,0,0
87,2,18,2,0
88,8,15,0,0
89,4,17,0,0
90,3,18,0,0
91,4,44,0,0
92,30,45,0,0
93,87,144,2,0
94,0,9,0,0
95,38,40,1,0
96,45,50,0,0
97,2,15,0,0
98,5,9,0,0
99,13,33,0,0
100,24,38,1,0
101,8,20,0,0
102,14,29,0,0
103,39,63,1,0
104,41,64,0,0
105,63,99,1,3
106,89,55,0,0
107,59,105,3,3
108,20,61,1,0
109,0,4,0,0
110,2,6,0,0
111,6,5,1,0
112,1,14,1,0
113,12,27,0,0
114,24,19,0,0
115,4,7,0,0
116,3,8,0,0
117,0,5,0,0
118,5,4,0,0
119,2,1,0,0
120,5,9,0,0
121,14,9,0,0
122,2,0,0,0
123,3,6,0,0
124,2,14,0,0
125,6,12,0,0
126,0,4,0,0
127,32,65,0,0
128,4,3,0,0
129,26,52,0,5
130,20,27,0,0
131,11,8,0,0
132,5,24,2,0
133,19,24,0,0
134,3,11,0,0
135,3,13,0,0
136,4,8,0,0
137,3,10,0,0
138,10,21,0,0
139,6,9,0,0
140,5,9,0,0
141,7,6,0,0
142,2,18,1,0
143,14,26,0,0
144,3,13,0,0
145,6,28,0,0
146,23,47,0,0
147,5,16,0,0
148,1,10,0,0
149,3,10,0,0
150,22,14,0,0
151,5,3,0,0
152,0,11,0,0
153,22,39,0,0
154,6,15,2,0
155,4,28,0,0
156,3,17,0,0
157,1,10,0,0
158,13,19,0,0
159,7,10,0,0
160,4,11,0,0
161,10,12,1,0
162,4,7,0,0
163,5,15,2,0
164,5,6,0,0
165,5,10,1,0
166,11,19,1,0
167,3,13,0,0
168,15,29,1,0
169,13,50,3,0
170,3,16,0,0
171,12,28,1,0
172,11,35,0,0
173,21,37,1,0
174,4,33,1,0
175,14,21,0,0
176,5,33,1,0
177,11,20,0,0
178,120,116,1,0
179,55,64,1,9
180,88,94,1,0
181,216,135,0,0
182,97,81,19,4
183,311,207,0,2
184,37,74,1,0
185,2,11,0,0
186,40,68,0,0
187,36,32,0,0
188,106,74,2,1
189,10,17,0,0
190,13,16,0,0
191,34,51,0,0
192,46,47,1,8
193,87,54,0,19
194,96,96,1,2
195,32,42,2,0
196,31,44,1,0
197,56,47,0,0
198,31,46,1,0
199,11,25,0,0
200,16,22,1,0
201,14,21,0,0
202,30,32,0,2
203,27,48,1,0
204,13,37,0,0
205,11,19,0,0
206,20,28,0,1
207,54,58,1,0
208,23,49,0,0
209,26,42,1,0
210,52,76,2,0
211,47,73,4,1
212,40,59,0,0
213,39,63,3,0
214,69,89,0,1
215,70,48,0,0
216,126,133,1,0
217,87,109,3,0
218,111,123,3,0
219,127,79,0,0
220,153,117,2,0
221,251,167,2,1
